Time,LarmX,LarmY,LArmZ
0.0,0.16237007776896162,0.1296918958425522,0.007669446989893913
0.10005791505791506,0.13578960498174034,0.1281301299730937,0.006837926805019379
0.20011583011583012,0.13103940784931184,0.12685086031754814,0.005076543738444646
0.3001737451737452,0.13125903109709425,0.12609251042207084,0.005001355893909931
0.40023166023166024,0.1318956385056178,0.12615961531798048,0.004625883884727955
0.5002895752895753,0.13331214785575868,0.1260710676511129,0.004214179081221421
0.6003474903474904,0.13335021535555525,0.12550692458947502,0.004141964949667454
0.7004054054054054,0.12683537801106773,0.12401724060376487,0.004293023298184076
0.8004633204633205,0.10825486183166505,0.12412221928437553,0.003967780930300553
0.9005212355212355,0.0966232736905416,0.1250882168610891,0.003602437674999237
1.0005791505791506,0.09598088463147483,0.12523452142874403,8.541158361670871e-05
1.1006370656370656,0.10445918838183087,0.1261341691017151,-0.002867770381271839
1.2006949806949807,0.11951416929562889,0.126584134499232,-0.004885688113669554
1.3007528957528958,0.13325378994146986,0.12653629183769227,-0.00804892803231875
1.4008108108108108,0.14072750210762025,0.12646194994449617,-0.013168297708034515
1.5008687258687259,0.14760577380657197,0.12645779748757682,-0.013936387995878855
1.600926640926641,0.14695819417635603,0.1261654814084371,-0.012616876512765884
1.700984555984556,0.143877711892128,0.126033357779185,-0.012116915235916773
1.801042471042471,0.14339721401532493,0.12601914207140608,-0.011558566242456436
1.9011003861003861,0.13310399353504182,0.1257902204990387,-0.011170620719591776
2.001158301158301,0.12226626972357434,0.12536257704099021,-0.010906709978977839
2.101216216216216,0.10784203012784324,0.12482085029284161,-0.010732561349868774
2.2012741312741313,0.09811679720878602,0.12457092305024467,-0.010639547059933344
2.301332046332046,0.1000972906748454,0.12459066708882652,-0.0064964815974235535
2.4013899613899614,0.10336012840270997,0.12470568915208183,-0.005097066983580589
2.5014478764478763,0.10685363610585533,0.12627905309200288,-0.005141814549763997
2.6015057915057915,0.12545302212238313,0.12672614753246308,-0.005935731654365857
2.7015637065637064,0.13546703457832338,0.12765706777572633,-0.0059131719172000885
2.8016216216216216,0.14411730766296388,0.12766935626665754,-0.003810763669510682
2.9016795366795365,0.13924582501252494,0.12711195846398674,-0.002135338106503089
3.0017374517374518,0.13720669051011405,0.11583426793416343,0.003743445500731468
3.1017953667953666,0.1362489332755407,0.10043102701505027,0.0174960196018219
3.201853281853282,0.12601162691911064,0.08003744681676231,0.05107735097408295
3.3019111969111967,0.1269458999236425,0.042417538166046154,0.0785060425599416
3.401969111969112,0.1311132629712423,0.020910811424255382,0.11446075638135274
3.502027027027027,0.1308089166879654,0.00727219581604005,0.14877218008041382
3.602084942084942,0.13778005242347718,0.013090165456136088,0.17603256305058795
3.702142857142857,0.1422530233860016,0.01599821647008262,0.20213870207468668
3.8022007722007722,0.14855321447054548,0.023424617449442575,0.24379628896713257
3.902258687258687,0.15195722579956056,0.030955982208251964,0.26345912615458167
4.002316602316602,0.1565562854210536,0.03517302076021833,0.2760668595631917
4.102374517374518,0.15830081899960838,0.03736668030420942,0.2778204480806986
4.202432432432432,0.16049208194017411,0.0361535668373108,0.2598782380421956
4.302490347490347,0.16779034038384757,0.02085271676381431,0.23253411054611206
4.402548262548263,0.16353621035814286,0.014483106136322033,0.19099233547846475
4.502606177606178,0.16156550198793412,0.009965829054514597,0.15768784284591675
4.602664092664092,0.15908356457948686,0.01588353713353477,0.12477312485376993
4.7027220077220075,0.14848878184954328,0.017860384782155375,0.1017944316069285
4.802779922779923,0.14482409457365675,0.029606592655181896,0.08178984622160593
4.902837837837838,0.14164177278677625,0.04542675813039146,0.0702600876490275
5.0028957528957525,0.1303643306096395,0.06216917634010316,0.05311318238576253
5.102953667953668,0.12900854349136354,0.07714215119679771,0.028552773098150887
5.203011583011583,0.130679793159167,0.10238662560780845,0.013498866309722263
