Frame,Landmark,X,Y,Z
33,NOSE,0.22519907355308533,0.409464955329895,-0.42541933059692383
33,LEFT_EYE_INNER,0.21277496218681335,0.3988284766674042,-0.40562134981155396
33,LEFT_EYE,0.2129853516817093,0.39070478081703186,-0.40563327074050903
33,LEFT_EYE_OUTER,0.21337004005908966,0.3836086392402649,-0.40564480423927307
33,RIGHT_EYE_INNER,0.21313348412513733,0.4253726899623871,-0.41317200660705566
33,RIGHT_EYE,0.21383900940418243,0.4362409710884094,-0.4131872057914734
33,RIGHT_EYE_OUTER,0.21468321979045868,0.44585999846458435,-0.4132365584373474
33,LEFT_EAR,0.2194727212190628,0.37546056509017944,-0.2631526589393616
33,RIGHT_EAR,0.22283804416656494,0.4637160897254944,-0.3007456362247467
33,MOUTH_LEFT,0.24028918147087097,0.39647263288497925,-0.3697095811367035
33,MOUTH_RIGHT,0.24006648361682892,0.4297272861003876,-0.3804313838481903
33,LEFT_SHOULDER,0.30994319915771484,0.3075249493122101,-0.1483132690191269
33,RIGHT_SHOULDER,0.310419499874115,0.5284801125526428,-0.21575923264026642
33,LEFT_ELBOW,0.4122185707092285,0.287960022687912,-0.051232416182756424
33,RIGHT_ELBOW,0.41334524750709534,0.5520272254943848,-0.17557518184185028
33,LEFT_WRIST,0.4943246841430664,0.2798052132129669,-0.1541648954153061
33,RIGHT_WRIST,0.4949270188808441,0.5472970604896545,-0.2669875919818878
33,LEFT_PINKY,0.5261765122413635,0.2650831639766693,-0.18725202977657318
33,RIGHT_PINKY,0.5258063673973083,0.5532490611076355,-0.3035326600074768
33,LEFT_INDEX,0.5263773202896118,0.2818622589111328,-0.2311667501926422
33,RIGHT_INDEX,0.5240146517753601,0.531838595867157,-0.34206676483154297
33,LEFT_THUMB,0.5191366672515869,0.29102158546447754,-0.17277498543262482
33,RIGHT_THUMB,0.5157713890075684,0.5252605080604553,-0.2833918333053589
33,LEFT_HIP,0.4941830039024353,0.3541642725467682,0.025067999958992004
33,RIGHT_HIP,0.4944978356361389,0.47604042291641235,-0.025240784510970116
33,LEFT_KNEE,0.6337259411811829,0.35827264189720154,0.02529197372496128
33,RIGHT_KNEE,0.6352226734161377,0.4748287498950958,0.004592297598719597
33,LEFT_ANKLE,0.7407681345939636,0.38237813115119934,0.33898240327835083
33,RIGHT_ANKLE,0.735873281955719,0.4695855975151062,0.2990778088569641
33,LEFT_HEEL,0.7548655271530151,0.3989502787590027,0.3612535893917084
33,RIGHT_HEEL,0.7492806315422058,0.45691633224487305,0.32070910930633545
33,LEFT_FOOT_INDEX,0.7913538217544556,0.3326420187950134,0.21979551017284393
33,RIGHT_FOOT_INDEX,0.7896490097045898,0.4778861701488495,0.16775310039520264
66,NOSE,0.22676244378089905,0.4096190631389618,-0.3248409926891327
66,LEFT_EYE_INNER,0.2140410840511322,0.3989296853542328,-0.30569925904273987
66,LEFT_EYE,0.21414346992969513,0.3907695710659027,-0.3056982755661011
66,LEFT_EYE_OUTER,0.2143779993057251,0.38362550735473633,-0.3056707978248596
66,RIGHT_EYE_INNER,0.2142125368118286,0.42554402351379395,-0.31160658597946167
66,RIGHT_EYE,0.2147534340620041,0.4364241659641266,-0.31158122420310974
66,RIGHT_EYE_OUTER,0.21542945504188538,0.44604310393333435,-0.3115808367729187
66,LEFT_EAR,0.21980087459087372,0.3756861686706543,-0.1744127720594406
66,RIGHT_EAR,0.22299692034721375,0.46362563967704773,-0.20608940720558167
66,MOUTH_LEFT,0.24187855422496796,0.39690127968788147,-0.27446070313453674
66,MOUTH_RIGHT,0.24208417534828186,0.429609090089798,-0.28324463963508606
66,LEFT_SHOULDER,0.30943238735198975,0.3092767000198364,-0.07786931097507477
66,RIGHT_SHOULDER,0.3099299669265747,0.5273479223251343,-0.15860766172409058
66,LEFT_ELBOW,0.4096498489379883,0.29150328040122986,0.010180821642279625
66,RIGHT_ELBOW,0.41046246886253357,0.5516468286514282,-0.1607268899679184
66,LEFT_WRIST,0.4944053590297699,0.280259907245636,-0.06822296977043152
66,RIGHT_WRIST,0.49466291069984436,0.5471765398979187,-0.26607728004455566
66,LEFT_PINKY,0.5260762572288513,0.26520565152168274,-0.09467765688896179
66,RIGHT_PINKY,0.5248239636421204,0.5533406734466553,-0.30353599786758423
66,LEFT_INDEX,0.526368260383606,0.28185710310935974,-0.13838376104831696
66,RIGHT_INDEX,0.5229907035827637,0.5318491458892822,-0.3369300067424774
66,LEFT_THUMB,0.5188148617744446,0.29098638892173767,-0.0862559974193573
66,RIGHT_THUMB,0.5147576332092285,0.524827241897583,-0.2810150682926178
66,LEFT_HIP,0.49653974175453186,0.3541998267173767,0.03215842694044113
66,RIGHT_HIP,0.4965888559818268,0.4759945869445801,-0.03233669698238373
66,LEFT_KNEE,0.6337648630142212,0.358029842376709,0.06884986162185669
66,RIGHT_KNEE,0.6352041363716125,0.47490012645721436,0.015099185518920422
66,LEFT_ANKLE,0.7404863238334656,0.38237905502319336,0.3379634916782379
66,RIGHT_ANKLE,0.7358213067054749,0.4708576202392578,0.2779718041419983
66,LEFT_HEEL,0.7546969652175903,0.3997746407985687,0.3583129942417145
66,RIGHT_HEEL,0.7492488622665405,0.461267352104187,0.2966633141040802
66,LEFT_FOOT_INDEX,0.7912614941596985,0.3323560655117035,0.23257741332054138
66,RIGHT_FOOT_INDEX,0.7896642088890076,0.4773842394351959,0.15990306437015533
100,NOSE,0.2271537333726883,0.40972018241882324,-0.2911890149116516
100,LEFT_EYE_INNER,0.21441371738910675,0.39902928471565247,-0.2729463577270508
100,LEFT_EYE,0.21449418365955353,0.3908360004425049,-0.27294138073921204
100,LEFT_EYE_OUTER,0.2146868258714676,0.3836490213871002,-0.2729230225086212
100,RIGHT_EYE_INNER,0.21447929739952087,0.4257296621799469,-0.2791002690792084
100,RIGHT_EYE,0.2149808704853058,0.4366450011730194,-0.27907794713974
100,RIGHT_EYE_OUTER,0.21563231945037842,0.44629260897636414,-0.27907660603523254
100,LEFT_EAR,0.21988308429718018,0.3759095370769501,-0.14959053695201874
100,RIGHT_EAR,0.22302205860614777,0.463603675365448,-0.18223953247070312
100,MOUTH_LEFT,0.24229755997657776,0.3971284329891205,-0.24380998313426971
100,MOUTH_RIGHT,0.24269625544548035,0.42951902747154236,-0.2528745234012604
100,LEFT_SHOULDER,0.3091088533401489,0.310360848903656,-0.0626235231757164
100,RIGHT_SHOULDER,0.30972909927368164,0.5267285108566284,-0.14437007904052734
100,LEFT_ELBOW,0.4085141122341156,0.2932196259498596,0.02358665131032467
